Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Fraud_Label
39.79,POS,93213.17,Laptop,Sydney,Travel,0,Amex,65,883.17,Biometric,0.8494,0
1.19,Bank Transfer,75725.25,Mobile,New York,Clothing,0,Mastercard,186,2203.36,Password,0.0959,1
28.96,Online,1588.96,Tablet,Mumbai,Restaurants,0,Visa,226,1909.29,Biometric,0.84,1
254.32,ATM Withdrawal,76807.2,Tablet,New York,Clothing,0,Visa,76,1311.86,OTP,0.7935,1
31.28,POS,92354.66,Mobile,Mumbai,Electronics,1,Mastercard,140,966.98,Password,0.3819,1
168.55,Online,33236.94,Laptop,Tokyo,Restaurants,0,Discover,51,1725.64,OTP,0.0504,0
3.79,POS,86834.18,Tablet,London,Restaurants,0,Mastercard,168,3757.19,Password,0.0875,0
7.08,ATM Withdrawal,45826.27,Tablet,London,Restaurants,0,Discover,182,1764.66,Biometric,0.5326,1
34.25,ATM Withdrawal,94392.35,Tablet,Tokyo,Clothing,0,Visa,24,550.38,Biometric,0.1347,0
16.24,POS,91859.97,Mobile,Mumbai,Travel,0,Mastercard,124,720.91,PIN,0.3394,0
367.5,POS,14640.09,Laptop,Mumbai,Electronics,0,Amex,136,292.36,PIN,0.643,0
50.44,ATM Withdrawal,19962.22,Laptop,London,Travel,0,Discover,131,3993.62,PIN,0.4582,0
55.5,ATM Withdrawal,89664.63,Laptop,London,Groceries,0,Discover,192,3721.54,OTP,0.5837,1
54.09,Bank Transfer,51287.15,Mobile,Sydney,Electronics,0,Amex,91,1061.27,PIN,0.1454,0
9.66,Online,12420.17,Tablet,New York,Electronics,0,Mastercard,5,762.21,OTP,0.0793,0
64.78,POS,23487.76,Laptop,Mumbai,Restaurants,0,Amex,3,3378.44,Password,0.2245,0
37.11,POS,92977.91,Tablet,Sydney,Electronics,0,Visa,135,395.36,Biometric,0.1136,0
1.58,Bank Transfer,63076.36,Laptop,New York,Clothing,0,Amex,47,2074.77,Biometric,0.3433,0
178.56,POS,62359.52,Tablet,Tokyo,Groceries,0,Visa,29,2159.31,Password,0.444,1
19.37,Bank Transfer,34416.01,Tablet,London,Travel,0,Discover,129,4436.61,PIN,0.2924,0
22.02,ATM Withdrawal,55851.38,Mobile,Sydney,Electronics,0,Visa,204,633.99,PIN,0.1305,0
203.97,ATM Withdrawal,73616.91,Mobile,New York,Restaurants,0,Mastercard,173,4723.22,Password,0.8633,1
